userId,movieId,rating,movie_idx
190,1,5.0,10
190,2,5.0,125
190,6,4.0,104
190,10,4.0,68
190,11,5.0,186
190,16,4.0,197
190,17,4.0,148
190,21,4.0,103
190,25,4.0,136
190,32,5.0,19
190,34,3.0,50
190,36,3.5,144
190,47,4.0,23
190,50,5.0,14
190,62,4.0,170
190,95,4.0,127
190,104,2.0,189
190,110,5.0,6
190,111,4.0,99
190,141,4.0,129
190,150,5.0,12
190,153,3.0,46
190,161,4.0,109
190,165,4.0,41
190,185,5.0,95
190,208,3.0,73
190,231,1.0,52
190,253,5.0,77
190,288,2.0,110
190,292,4.0,86
190,293,5.0,87
190,296,5.0,0
190,316,4.0,55
190,318,5.0,2
190,329,3.0,84
190,337,4.0,190
190,344,3.0,32
190,349,5.0,65
190,356,5.0,1
190,357,3.0,74
190,364,4.0,31
190,367,4.0,39
190,377,5.0,26
190,380,5.0,24
190,410,3.0,181
190,434,4.0,92
190,442,4.0,185
190,454,4.0,88
190,457,5.0,11
190,474,4.0,176
190,480,5.0,4
190,500,5.0,38
190,508,5.0,167
190,527,5.0,9
190,539,4.0,69
190,541,5.0,60
190,551,4.0,153
190,586,4.0,70
190,587,5.0,66
190,589,5.0,7
190,590,5.0,20
190,592,4.0,16
190,593,5.0,3
190,594,5.0,192
190,597,5.0,42
190,608,4.0,22
190,648,4.0,34
190,733,5.0,57
190,736,4.0,49
190,750,5.0,119
190,780,5.0,13
190,788,3.0,177
190,858,5.0,28
190,904,5.0,196
190,912,5.0,101
190,919,5.0,113
190,923,4.0,191
190,1036,5.0,62
190,1089,5.0,76
190,1097,5.0,47
190,1101,5.0,156
190,1127,5.0,195
190,1136,5.0,44
190,1193,5.0,63
190,1196,5.0,17
190,1198,5.0,21
190,1200,5.0,79
190,1206,5.0,93
190,1208,5.0,121
190,1210,5.0,15
190,1214,5.0,59
190,1220,5.0,162
190,1221,4.0,78
190,1222,3.0,131
190,1225,4.0,151
190,1240,5.0,43
190,1246,5.0,152
190,1258,4.0,114
190,1265,4.0,53
190,1270,4.0,27
190,1291,4.0,58
190,1307,3.0,132
190,1356,4.0,171
190,1387,5.0,126
190,1393,5.0,124
190,1527,4.0,75
190,1573,4.0,183
190,1580,5.0,36
190,1584,3.0,161
190,1610,5.0,138
190,1617,5.0,82
190,1653,3.0,182
190,1704,5.0,72
190,1784,5.0,135
190,1917,4.0,141
190,1923,3.0,97
190,1961,4.0,96
190,1968,4.0,140
190,2000,5.0,193
190,2011,4.0,169
190,2012,3.0,163
190,2028,5.0,35
190,2115,4.0,139
190,2174,5.0,159
190,2291,5.0,137
190,2355,4.0,154
190,2396,5.0,98
190,2502,5.0,157
190,2571,5.0,8
190,2628,3.0,64
190,2683,4.0,94
190,2700,2.0,198
190,2706,3.0,118
190,2710,1.0,173
190,2716,5.0,67
190,2762,5.0,30
190,2791,5.0,175
190,2858,5.0,18
190,2916,4.0,146
190,2918,4.0,116
190,2959,5.0,29
190,2987,5.0,134
190,2997,3.0,80
190,3147,5.0,142
190,3578,5.0,45
190,3793,4.0,81
190,3897,5.0,184
190,3996,5.0,91
190,4022,4.0,174
190,4027,4.0,168
190,4226,4.0,61
190,4306,5.0,54
190,4886,4.0,107
190,4896,4.0,199
190,4963,5.0,105
190,4993,5.0,33
190,4995,5.0,130
190,5349,4.0,115
190,5418,4.0,158
190,5952,5.0,40
926,1,4.0,10
926,11,3.0,186
926,16,1.5,197
926,17,5.0,148
926,21,4.5,103
926,25,2.0,136
926,32,3.0,19
926,34,4.5,50
926,36,5.0,144
926,39,4.0,85
926,47,3.5,23
926,50,4.5,14
926,62,1.0,170
926,95,3.0,127
926,110,3.5,6
926,111,5.0,99
926,150,5.0,12
926,165,3.5,41
926,208,3.0,73
926,223,3.5,106
926,253,3.0,77
926,260,4.5,5
926,288,4.0,110
926,296,5.0,0
926,300,4.0,149
926,318,4.5,2
926,337,4.0,190
926,339,1.5,120
926,344,3.0,32
926,356,1.0,1
926,357,4.0,74
926,364,3.5,31
926,367,3.5,39
926,377,2.0,26
926,380,3.5,24
926,440,4.0,172
926,457,5.0,11
926,474,4.0,176
926,480,4.5,4
926,508,1.5,167
926,527,4.5,9
926,539,4.0,69
926,541,4.5,60
926,551,3.5,153
926,586,3.5,70
926,587,4.0,66
926,588,4.5,25
926,589,2.5,7
926,590,2.0,20
926,592,3.0,16
926,593,4.5,3
926,595,4.0,37
926,597,0.5,42
926,608,4.0,22
926,648,0.5,34
926,733,2.0,57
926,736,2.5,49
926,750,4.0,119
926,778,4.0,111
926,780,4.0,13
926,858,5.0,28
926,904,5.0,196
